Code,EN,JP,CH
1,"A fragment of memory not your own flashes through your mind,  like a ghost whispering in your ear.
",あなたのものでない記憶の断片が頭の中を駆け巡り、まるで幽霊が耳元で囁いているようです。,一道本不属于你的记忆断片在你大脑中闪过，如同幽灵在你耳畔低语。
2,History is the mirror of wisdom.,歴史は知恵の鏡。,历史是智慧之镜。
3,"The dark night gave me black eyes, but I use them to seek the light.",暗い夜が私に黒い瞳を与えましたが、私はそれを使って光を探しています。,黑夜给了我黑色的眼睛，我却用它寻找光明。
5,"By reading books, you can gain a house as precious as gold and meet beauties as exquisite as jade.",本を読めば黄金のような家が手に入り、玉のような美人にも会える。,书中自有黄金屋。
10,"One time, one meeting",一期一会,一期一会
15,"Nothing in this world is difficult, it's only feared by those who have the heart to face it.",世の中に難しいことはない、心を持っている人を恐れるだけ。,天下無難事，只怕有心人。
17,Constant dripping wears away the stone,水滴は石を穿つ,滴水穿石
20,"Although a stone cannot cut anything by itself, it can sharpen a sword.",石は自分では何も切れないが、それで宝剣を研ぎ澄ますことができる。,石头虽然自己不能够割什么东西，它却能把宝剑磨得锋利。
30,"No matter how high the wall, there is always a door",どんなに高い壁にも、必ず扉はある,无论多高的墙，总有一扇门
40,"I like seeing happy people, regardless of whether they are married or not.",幸せな人々を見るのが好きです。彼らが結婚しているかどうかにかかわらず。,我喜欢看见幸福的人，不管他们结不结婚。
50,"There is no evil that lasts a hundred years, nor a body that can withstand it.",百年続く悪はなく、それに耐えうる身体もない。,没有哪个坏事会持续一百年，也没有哪个身体能承受得了。
60,"A company I worked for claimed externally that they had a three-day weekend, but they never revealed externally that on workdays, they usually worked overtime until 9 PM.",私が働いていた会社は外部に対して週末が3日あると宣伝していましたが、平日は平均して夜9時まで残業していることは決して外部には明かしませんでした。,我呆过的一家公司对外号称他们周休3天，但从来不对外透漏他们工作日平均加班到晚上9点。
80,"When three are walking together, I am sure to find teachers among them. I will select their good qualities and follow them, their bad qualities and avoid them.",三人行けば必ず我が師あり。その善なるものをえらび、之に従い、その不全なるものはこれを改む。,三人行，必有我师焉。择其善者而从之，其不善者而改之。
100,"Among flowers, the cherry blossom; among men, the samurai.",花は桜木 人は武士,花即是樱花树，人即是武士
demo_end,The journey pauses here. Please look forward to the full version.,旅はひと区切りです。完全版をお楽しみに。,旅程告一段落，请期待完整版
